Subject,Block,Trial,Horizon,Info,mu_L,mu_R,delta,Choice,RT,Accuracy,Outcome
48ne807kl3uo97vu0imier5e.,1,1,10,0,40,48,-8,1,4.874855000060052,0,57
48ne807kl3uo97vu0imier5e.,1,2,10,0,40,48,-8,0,5.008579999906942,1,43
48ne807kl3uo97vu0imier5e.,1,3,10,0,40,48,-8,1,4.617275000084192,0,32
48ne807kl3uo97vu0imier5e.,1,4,10,0,40,48,-8,0,4.653660000069067,1,51
48ne807kl3uo97vu0imier5e.,1,5,10,0,40,48,-8,1,8.640570000046864,0,32
48ne807kl3uo97vu0imier5e.,1,6,10,0,40,48,-8,1,5.758995000040159,0,42
48ne807kl3uo97vu0imier5e.,1,7,10,0,40,48,-8,0,4.352319999830797,1,56
48ne807kl3uo97vu0imier5e.,1,8,10,0,40,48,-8,0,5.465180000057444,1,38
48ne807kl3uo97vu0imier5e.,1,9,10,0,40,48,-8,1,7.211280000163242,0,50
48ne807kl3uo97vu0imier5e.,1,10,10,0,40,48,-8,1,1.5798200001008809,0,36
48ne807kl3uo97vu0imier5e.,2,1,10,0,40,32,8,1,5.484895000001416,1,29
48ne807kl3uo97vu0imier5e.,2,2,10,0,40,32,8,1,5.458705000113696,1,39
48ne807kl3uo97vu0imier5e.,2,3,10,0,40,32,8,0,4.117459999863058,0,25
48ne807kl3uo97vu0imier5e.,2,4,10,0,40,32,8,0,4.5958700000774115,0,28
48ne807kl3uo97vu0imier5e.,2,5,10,0,40,32,8,1,5.380929999984801,1,38
48ne807kl3uo97vu0imier5e.,2,6,10,0,40,32,8,0,8.968074999982491,0,35
48ne807kl3uo97vu0imier5e.,2,7,10,0,40,32,8,1,5.033779999939725,1,26
48ne807kl3uo97vu0imier5e.,2,8,10,0,40,32,8,0,6.124855000060052,0,23
48ne807kl3uo97vu0imier5e.,2,9,10,0,40,32,8,0,4.359560000011697,0,24
48ne807kl3uo97vu0imier5e.,2,10,10,0,40,32,8,1,4.208980000112206,1,24
48ne807kl3uo97vu0imier5e.,3,1,10,0,40,32,8,0,4.776659999974072,0,9
48ne807kl3uo97vu0imier5e.,3,2,10,0,40,32,8,1,3.8199450001120567,1,40
48ne807kl3uo97vu0imier5e.,3,3,10,0,40,32,8,0,1.7780999999959022,0,35
48ne807kl3uo97vu0imier5e.,3,4,10,0,40,32,8,1,4.645964999916032,1,35
48ne807kl3uo97vu0imier5e.,3,5,10,0,40,32,8,0,6.128984999842942,0,19
48ne807kl3uo97vu0imier5e.,3,6,10,0,40,32,8,0,5.0796350000891834,0,29
48ne807kl3uo97vu0imier5e.,3,7,10,0,40,32,8,1,4.086729999864474,1,44
48ne807kl3uo97vu0imier5e.,3,8,10,0,40,32,8,0,6.264719999860972,0,37
48ne807kl3uo97vu0imier5e.,3,9,10,0,40,32,8,1,5.503560000099242,1,18
48ne807kl3uo97vu0imier5e.,3,10,10,0,40,32,8,1,4.619524999987334,1,20
48ne807kl3uo97vu0imier5e.,4,1,5,-1,40,60,-20,0,4.38565000006929,1,75
48ne807kl3uo97vu0imier5e.,4,2,5,-1,40,60,-20,1,4.480515000177547,0,43
