Subject,pswq-infreq,ius12-infreq,nfc-infreq,infreq,Accuracy,Random,Score,Reject
0028vx980suduypyca0fxp5s.,0,0,0,0,32,0,0,0
0ai9f8an3qc4knt1s37yc2fq.,0,0,0,0,25,0,0,0
0g5jqp6ehlqbdrbk5dvo7nia.,0,0,0,0,32,0,0,0
0msrk1ubu9clngjuhkffgn7r.,0,0,0,0,25,0,0,0
0xxxbebgmfn4m2hrs8jbcs15.,1,1,0,2,26,0,2,1
2k8a2pb4478h2ui0gtqtg96v.,0,0,0,0,32,0,0,0
35plsw0y6gz896hmg0ksic2g.,0,0,0,0,31,0,0,0
43qqrym6uu8zlp8w027xqvi9.,0,0,0,0,31,0,0,0
4mwhrciwfrfcb7oaq6f05kts.,0,0,0,0,31,0,0,0
65fygro5lua1k2su3r3vcovk.,0,0,0,0,32,0,0,0
6srjyp630ga4an3l3yhme0q6.,0,0,0,0,29,0,0,0
7pasnj6gr51yxw8t9snafte1.,0,0,0,0,32,0,0,0
85czin81wbg9hx9576a2yoqs.,0,0,0,0,31,0,0,0
8jp0gh5bzl0od5368581xvc7.,1,1,1,3,19,1,4,1
8n4npywsyuit41ehrclgfoev.,0,0,0,0,32,0,0,0
8sihrciklc2hd768u0rqc4pl.,0,0,0,0,32,0,0,0
9bmawyi35xr2i3hq9dtkjg0n.,1,1,1,3,19,1,4,1
a46swtu2diqpj3z21mfb6x84.,0,0,0,0,17,1,1,1
aaz5rwa16q73iwrsrbshbk39.,0,0,0,0,32,0,0,0
ac4dwnk18da5prccl8bzfwsj.,0,0,0,0,32,0,0,0
b9w6du5mfjy3anpj9b94wiun.,0,0,0,0,32,0,0,0
bg7au9jdadvby4tm2h8tgjyy.,0,0,0,0,29,0,0,0
bheux2elnaefr0ck9wry05n3.,1,0,0,1,28,0,1,1
btj5opoxoxgssw6apiuiwa81.,0,0,0,0,23,0,0,0
cdqe7d4eopykg1rw25hg0smw.,0,0,0,0,24,0,0,0
d3ewk04q2r002e5a8fgqa80d.,0,0,0,0,26,0,0,0
d59ud9vqctwhdwy86ykb67qz.,1,0,0,1,29,0,1,1
ddaqntvjvd3eopf9aebk3jt9.,0,0,0,0,32,0,0,0
dljco098fsutlrzt06hesnmh.,0,0,0,0,11,1,1,1
dlnzn7l56v1fq7xku1tmor3h.,0,0,0,0,31,0,0,0
drsoux247pv1q4j7husw8kva.,0,0,0,0,31,0,0,0
e27aupllzdxymlxrn3593i6x.,0,1,1,2,13,1,3,1
e5vxndygfz6wu5qdzowriwlr.,0,0,0,0,31,0,0,0
eeij9c18pv7o7agz89omgqk0.,0,0,0,0,22,0,0,0
eig14l4z67cl92gg7trjlmjp.,1,0,0,1,31,0,1,1
enh2br5ahtga43u4zd4gmaec.,0,0,0,0,32,0,0,0
epdm01s7p1uo8kn1m8b8o8wd.,0,0,0,0,21,0,0,0
eso69wcbr957gmqyijel2bqp.,0,0,1,1,32,0,1,1
f3q2zx571eimwnzib6iom1l2.,0,0,0,0,30,0,0,0
gazrkiisx1dztglmbxx3mm03.,0,0,0,0,31,0,0,0
ggu9mpow2kj9dvkrrfx1rhzi.,0,0,0,0,32,0,0,0
