Subject,type,alpha,side,sigma
0028vx980suduypyca0fxp5s.,1,15.0,0.31915176715041804,0.31764760276898346
0028vx980suduypyca0fxp5s.,2,15.0,0.31915171860946684,0.3176475972346167
0028vx980suduypyca0fxp5s.,3,1.2327992237051797,-0.8269461954894992,0.41100472344430344
0028vx980suduypyca0fxp5s.,4,-0.5929667216160922,-0.10839144917310045,0.6803026490869254
0ai9f8an3qc4knt1s37yc2fq.,1,15.0,0.16701883521660713,0.42275228684012356
0ai9f8an3qc4knt1s37yc2fq.,2,15.0,-0.31915177694344943,0.3176475957770026
0ai9f8an3qc4knt1s37yc2fq.,3,20.0,-10.0,1e-09
0ai9f8an3qc4knt1s37yc2fq.,4,20.0,-3.6436886939735507,2.455829919932691
0g5jqp6ehlqbdrbk5dvo7nia.,1,15.0,0.3262858389042387,0.14262445773449708
0g5jqp6ehlqbdrbk5dvo7nia.,2,15.0,-0.18397117272943384,0.5766588711970204
0g5jqp6ehlqbdrbk5dvo7nia.,3,0.9673797036360721,-0.2903604363192116,1e-09
0g5jqp6ehlqbdrbk5dvo7nia.,4,-3.8988381943289663,2.140923235662232,1.8646724512004393
0msrk1ubu9clngjuhkffgn7r.,1,15.0,0.18396975983965738,0.5766574565486695
0msrk1ubu9clngjuhkffgn7r.,2,15.0,-0.3737876765958672,0.5891965840831406
0msrk1ubu9clngjuhkffgn7r.,3,0.9705508553188992,0.19595747441223155,3.309352655041682
0msrk1ubu9clngjuhkffgn7r.,4,-0.9746846733144077,0.20429984333382634,0.4835802593258864
2k8a2pb4478h2ui0gtqtg96v.,1,15.0,0.17145917631419297,0.1655420616875177
2k8a2pb4478h2ui0gtqtg96v.,2,15.0,0.3253957006702922,0.36341104315266837
2k8a2pb4478h2ui0gtqtg96v.,3,0.062249212288753346,0.2961190726279301,0.14867199823980964
2k8a2pb4478h2ui0gtqtg96v.,4,-0.6366754036139903,0.5103560521700936,0.20280792564257774
35plsw0y6gz896hmg0ksic2g.,1,15.0,0.4654347148391267,0.23473896679910544
35plsw0y6gz896hmg0ksic2g.,2,15.0,-0.3624379608643509,1e-09
35plsw0y6gz896hmg0ksic2g.,3,-7.107550982692762,1.2025753649409239,4.988109301946737
35plsw0y6gz896hmg0ksic2g.,4,-11.036210575141917,5.505645442092978,4.2886858126095895
43qqrym6uu8zlp8w027xqvi9.,1,15.0,-0.4989491781501179,0.38942244418899086
43qqrym6uu8zlp8w027xqvi9.,2,15.0,0.16512326467118033,0.40140102428040636
43qqrym6uu8zlp8w027xqvi9.,3,1.3317529483022343,-0.6385884343863362,0.4322868436315871
43qqrym6uu8zlp8w027xqvi9.,4,-0.8568454264154587,0.28766498226838866,0.6760755068555736
4mwhrciwfrfcb7oaq6f05kts.,1,15.0,0.31523643463521195,0.2144635632121274
4mwhrciwfrfcb7oaq6f05kts.,2,15.0,-0.7542278048579604,1.7217476219993202
4mwhrciwfrfcb7oaq6f05kts.,3,1.3708695285638468,-0.1600706140992864,0.2593044303262478
4mwhrciwfrfcb7oaq6f05kts.,4,3.321591718588645,-2.362655147592909,3.137407170220559
65fygro5lua1k2su3r3vcovk.,1,15.0,0.17145930237304433,0.16554153661091378
65fygro5lua1k2su3r3vcovk.,2,15.0,0.32539569864777756,0.363411044197941
65fygro5lua1k2su3r3vcovk.,3,-5.238391180780919,2.875082341588449,4.527384311309032
65fygro5lua1k2su3r3vcovk.,4,-1.38218244591964,0.38473956425264466,0.43441487279426777
6srjyp630ga4an3l3yhme0q6.,1,15.0,4.790453103817479e-08,0.6111707792166078
6srjyp630ga4an3l3yhme0q6.,2,15.0,-0.6303079806004441,0.7376881124359526
6srjyp630ga4an3l3yhme0q6.,3,9.75817041156507,-2.5430320137911493,3.40010952475666
6srjyp630ga4an3l3yhme0q6.,4,-4.612295862723025,0.4559164943301907,6.081973387563345
7pasnj6gr51yxw8t9snafte1.,1,15.0,-3.509209926150341e-08,0.4134684902689289
7pasnj6gr51yxw8t9snafte1.,2,15.0,0.315075248374663,0.2691112739126619
7pasnj6gr51yxw8t9snafte1.,3,1.2471222895451186,-1.4489468851228775,1e-09
7pasnj6gr51yxw8t9snafte1.,4,0.276025585720992,-0.39228084277211245,0.14242725003830728
85czin81wbg9hx9576a2yoqs.,1,15.0,0.16097921894540101,0.22165638071983362
85czin81wbg9hx9576a2yoqs.,2,15.0,-0.22506702658840122,0.8678254409820839
85czin81wbg9hx9576a2yoqs.,3,0.9702868507699651,-0.5810386650428393,0.33452195997336026
85czin81wbg9hx9576a2yoqs.,4,-0.7114977951805144,0.6653939643262791,1.4024604141531736
8n4npywsyuit41ehrclgfoev.,1,15.0,-0.15868702698857012,0.26997850379929655
8n4npywsyuit41ehrclgfoev.,2,15.0,0.4582287900617548,0.010644927634806064
8n4npywsyuit41ehrclgfoev.,3,0.002032274025231366,-0.0010832547908054542,0.2858227259756525
8n4npywsyuit41ehrclgfoev.,4,-0.5981284811325345,0.29147380451976806,0.6455184828614929
8sihrciklc2hd768u0rqc4pl.,1,15.0,-0.2291142507656316,0.010890397676501216
8sihrciklc2hd768u0rqc4pl.,2,15.0,0.32539567969058236,0.3634110309862171
8sihrciklc2hd768u0rqc4pl.,3,0.06930241456773045,-0.22911480495420253,0.01137521246402865
8sihrciklc2hd768u0rqc4pl.,4,-0.5973287481697844,0.33151608675571187,1e-09
aaz5rwa16q73iwrsrbshbk39.,1,15.0,0.22911471251413698,0.010928270576951064
aaz5rwa16q73iwrsrbshbk39.,2,15.0,1.7354313394441388e-06,0.328939158617484
aaz5rwa16q73iwrsrbshbk39.,3,-0.04401938817897379,-0.13036866254273577,0.26903620468269224
aaz5rwa16q73iwrsrbshbk39.,4,-0.641457496862458,-0.17120553570840133,0.492468768537755
ac4dwnk18da5prccl8bzfwsj.,1,15.0,-8.188736544847432e-07,0.2856938368737936
ac4dwnk18da5prccl8bzfwsj.,2,15.0,0.16097921395653272,0.2216563816381854
ac4dwnk18da5prccl8bzfwsj.,3,0.2998257907259593,0.04400712090201213,0.1381966972500372
ac4dwnk18da5prccl8bzfwsj.,4,-0.6448209730605208,1.0306464547189347,0.5473004555748072
b9w6du5mfjy3anpj9b94wiun.,1,15.0,-0.3253957179468965,0.3634110387176578
b9w6du5mfjy3anpj9b94wiun.,2,15.0,1.3848341824462795e-07,0.6111707722592281
