Subject,Horizon,alpha,side,sigma
0028vx980suduypyca0fxp5s.,1,10.680120344995593,1.2987455378656105,7.127155769897542
0028vx980suduypyca0fxp5s.,6,-4.511473407576168,0.06929937741821403,9.248845374593525
0ai9f8an3qc4knt1s37yc2fq.,1,20.0,1.30641577720691,8.033254568307017
0ai9f8an3qc4knt1s37yc2fq.,6,20.0,-0.3215352915005431,10.116943703233773
0g5jqp6ehlqbdrbk5dvo7nia.,1,9.361006744787082,3.2375286336696782,2.257262819608314
0g5jqp6ehlqbdrbk5dvo7nia.,6,-17.517436242044628,-4.495391693571084,15.288359089178122
0msrk1ubu9clngjuhkffgn7r.,1,1.2171175733504802,4.773097939364338,20.4678237199881
0msrk1ubu9clngjuhkffgn7r.,6,-8.76882394311388,-5.783122316116804,9.325880682070006
2k8a2pb4478h2ui0gtqtg96v.,1,0.7244462743424575,4.335304439058415,2.8822592185377225
2k8a2pb4478h2ui0gtqtg96v.,6,-4.925741674890625,4.431258824003931,5.207580386757827
35plsw0y6gz896hmg0ksic2g.,1,-2.4645145943726194,1.484157558768233,7.918363895748378
35plsw0y6gz896hmg0ksic2g.,6,-14.27204975268824,-4.121424516677064,11.329086044780253
43qqrym6uu8zlp8w027xqvi9.,1,12.296470824191845,-4.477667687483339,7.221887247834586
43qqrym6uu8zlp8w027xqvi9.,6,-7.011313042675743,0.7178179278453442,9.095894028841757
4mwhrciwfrfcb7oaq6f05kts.,1,11.608400322950954,7.192134220263893,4.315132786975561
4mwhrciwfrfcb7oaq6f05kts.,6,17.669450699254373,-10.0,35.96666849340304
65fygro5lua1k2su3r3vcovk.,1,-3.086184093948345,0.08472602641042547,2.6336610651815517
65fygro5lua1k2su3r3vcovk.,6,-12.09991052886513,0.6857470387654144,7.393486170511538
6srjyp630ga4an3l3yhme0q6.,1,20.0,5.2252480051324826,17.12758688404493
6srjyp630ga4an3l3yhme0q6.,6,-13.630144713717154,-5.070284507112021,10.560013906673808
7pasnj6gr51yxw8t9snafte1.,1,9.231003172889436,-5.103584717784469,5.554373919926774
7pasnj6gr51yxw8t9snafte1.,6,3.91828086166204,0.4260981965319411,4.619433472110341
85czin81wbg9hx9576a2yoqs.,1,8.551228301017211,0.3728971097463686,4.898769264743948
85czin81wbg9hx9576a2yoqs.,6,-5.285527084197927,-0.10328621465178345,19.33296834049597
8n4npywsyuit41ehrclgfoev.,1,0.11378744694842235,-1.3935804696768561,4.926636175340085
8n4npywsyuit41ehrclgfoev.,6,-4.777029416118531,4.23315993258385,7.3135875993523625
8sihrciklc2hd768u0rqc4pl.,1,3.412631077623975e-06,-3.9999939957129755,0.1923241713103824
8sihrciklc2hd768u0rqc4pl.,6,-4.448782338243932,3.99761687541041,4.145633694280635
aaz5rwa16q73iwrsrbshbk39.,1,-1.4313271357231714,0.20256373326263055,3.6856982008844383
aaz5rwa16q73iwrsrbshbk39.,6,-5.864518885688961,-3.8983411556755274,7.379485077110829
ac4dwnk18da5prccl8bzfwsj.,1,2.0730354931625334,1.719946244191468,4.012366902176205
ac4dwnk18da5prccl8bzfwsj.,6,-5.335837340799888,6.545142166534243,6.754585894845856
b9w6du5mfjy3anpj9b94wiun.,1,14.729080106600838,-2.284086945496552,5.4744330834746995
b9w6du5mfjy3anpj9b94wiun.,6,-3.062579138753031,1.925437731432276,14.201853604626276
bg7au9jdadvby4tm2h8tgjyy.,1,7.4572924208209885,0.19827227289745167,15.379754230997879
