Subject,Horizon,alpha,side,sigma
0028vx980suduypyca0fxp5s.,1,0.45777676259988054,-0.03112320787941376,0.4640012519038389
0028vx980suduypyca0fxp5s.,6,-0.8023786719383919,0.20406624670588364,0.5014967945832516
0ai9f8an3qc4knt1s37yc2fq.,1,19.3815106710636,-0.7083554696686313,0.984548673319927
0ai9f8an3qc4knt1s37yc2fq.,6,11.134616011831712,-0.7480699579483693,0.7268459288329524
0g5jqp6ehlqbdrbk5dvo7nia.,1,0.5708732232570991,0.016725583886833126,0.2203872513823467
0g5jqp6ehlqbdrbk5dvo7nia.,6,-1.379672312668442,0.07344678168475083,0.8757269261435542
0msrk1ubu9clngjuhkffgn7r.,1,0.08959658666098261,0.25113641668581443,1.1698012883514826
0msrk1ubu9clngjuhkffgn7r.,6,-0.6180279331403142,-0.19606690181520353,0.5495884663610358
2k8a2pb4478h2ui0gtqtg96v.,1,0.15808511735051423,0.20882801181171912,0.16616960696411806
2k8a2pb4478h2ui0gtqtg96v.,6,-0.44087092641536235,0.37202779876331293,0.30594722094035337
35plsw0y6gz896hmg0ksic2g.,1,-0.9064502400448072,0.27501627085520597,0.4501416255918008
35plsw0y6gz896hmg0ksic2g.,6,-8.472638479318563,1.40108309313771,5.150069095538518
43qqrym6uu8zlp8w027xqvi9.,1,1.2266527040052109,-0.5440851717018855,0.41716714032577434
43qqrym6uu8zlp8w027xqvi9.,6,-0.6850307562305611,0.20551297350420372,0.523550620653918
4mwhrciwfrfcb7oaq6f05kts.,1,1.064302232373923,0.13898046508354042,0.24709016562604308
4mwhrciwfrfcb7oaq6f05kts.,6,1.6545422642412257,-1.097715757945892,2.1124619998615572
65fygro5lua1k2su3r3vcovk.,1,-0.4579834616343948,0.1369383482820462,0.11874358099288243
65fygro5lua1k2su3r3vcovk.,6,-1.3084168690959959,0.34603287594835924,0.3973313348497197
6srjyp630ga4an3l3yhme0q6.,1,2.35945873926951,-0.1855832696891373,0.9722935735931719
6srjyp630ga4an3l3yhme0q6.,6,-0.6915418981598418,-0.1343009602953011,0.7413514217588969
7pasnj6gr51yxw8t9snafte1.,1,0.2610182648939336,-0.3807188463679971,0.3624135146520635
