Subject,type,alpha,side,sigma
0028vx980suduypyca0fxp5s.,1,10.0,0.31915176715041804,0.31764760276898346
0028vx980suduypyca0fxp5s.,2,10.0,0.31915171860946684,0.3176475972346167
0028vx980suduypyca0fxp5s.,3,1.2328090018164573,-0.8269448680102034,0.41100454282725024
0028vx980suduypyca0fxp5s.,4,-0.5929381167526658,-0.10839812036446554,0.6803035157701764
0ai9f8an3qc4knt1s37yc2fq.,1,10.0,0.16701883521660713,0.42275228684012356
0ai9f8an3qc4knt1s37yc2fq.,2,10.0,-0.31915177694344943,0.3176475957770026
0ai9f8an3qc4knt1s37yc2fq.,3,12.103742835280235,-6.371022965445713,1.000000082740371e-09
0ai9f8an3qc4knt1s37yc2fq.,4,20.0,-3.6437004317305655,2.4558432728007524
0g5jqp6ehlqbdrbk5dvo7nia.,1,10.0,0.3262858389042387,0.14262445773449708
0g5jqp6ehlqbdrbk5dvo7nia.,2,10.0,-0.18397117272943384,0.5766588711970204
0g5jqp6ehlqbdrbk5dvo7nia.,3,0.9555220044971667,-0.3402321004130424,1e-09
0g5jqp6ehlqbdrbk5dvo7nia.,4,-3.7910417346246033,1.7827676259545973,1.8122755603040488
0msrk1ubu9clngjuhkffgn7r.,1,10.0,0.18396975983965738,0.5766574565486695
0msrk1ubu9clngjuhkffgn7r.,2,10.0,-0.3737876765958672,0.5891965840831406
0msrk1ubu9clngjuhkffgn7r.,3,0.9705792231428119,0.19594745942739134,3.3093149843715306
0msrk1ubu9clngjuhkffgn7r.,4,-0.9746872301740218,0.20430124395315064,0.4835810850954618
2k8a2pb4478h2ui0gtqtg96v.,1,10.0,0.17145917631419297,0.1655420616875177
2k8a2pb4478h2ui0gtqtg96v.,2,10.0,0.3253957006702922,0.36341104315266837
2k8a2pb4478h2ui0gtqtg96v.,3,0.06224706338319276,0.29612028300603976,0.14867177164486772
2k8a2pb4478h2ui0gtqtg96v.,4,-0.6366797707392623,0.5103514799424412,0.20280959618402566
35plsw0y6gz896hmg0ksic2g.,1,10.0,0.4654347148391267,0.23473896679910544
35plsw0y6gz896hmg0ksic2g.,2,10.0,-0.3624379608643509,1e-09
35plsw0y6gz896hmg0ksic2g.,3,-0.5028241523612452,-0.16450151481126052,0.4932019991437579
35plsw0y6gz896hmg0ksic2g.,4,-5.603054029237202,2.807715647605558,2.2303359487219576
43qqrym6uu8zlp8w027xqvi9.,1,10.0,-0.4989491781501179,0.38942244418899086
43qqrym6uu8zlp8w027xqvi9.,2,10.0,0.16512326467118033,0.40140102428040636
43qqrym6uu8zlp8w027xqvi9.,3,1.3317524807775993,-0.6385875815675468,0.43228691356573457
43qqrym6uu8zlp8w027xqvi9.,4,-0.8568411778755247,0.28766548281368864,0.6760780183747325
4mwhrciwfrfcb7oaq6f05kts.,1,10.0,0.31523643463521195,0.2144635632121274
4mwhrciwfrfcb7oaq6f05kts.,2,10.0,-0.7542278048579604,1.7217476219993202
4mwhrciwfrfcb7oaq6f05kts.,3,1.3708695503137838,-0.16007068432319155,0.25930459086266927
4mwhrciwfrfcb7oaq6f05kts.,4,3.321578466506976,-2.3626527297381545,3.1373803388672794
65fygro5lua1k2su3r3vcovk.,1,10.0,0.17145930237304433,0.16554153661091378
65fygro5lua1k2su3r3vcovk.,2,10.0,0.32539569864777756,0.363411044197941
65fygro5lua1k2su3r3vcovk.,3,-0.4488170129671687,0.09606453247333706,1e-09
65fygro5lua1k2su3r3vcovk.,4,-1.3821610611615185,0.38471859316561924,0.43441388129331004
6srjyp630ga4an3l3yhme0q6.,1,10.0,4.790453103817479e-08,0.6111707792166078
6srjyp630ga4an3l3yhme0q6.,2,10.0,-0.6303079806004441,0.7376881124359526
6srjyp630ga4an3l3yhme0q6.,3,9.756545998401348,-2.5425089315751364,3.3995934389367
6srjyp630ga4an3l3yhme0q6.,4,-1.4696804297241473,0.7074297757058595,0.43606348770731523
7pasnj6gr51yxw8t9snafte1.,1,10.0,-3.509209926150341e-08,0.4134684902689289
7pasnj6gr51yxw8t9snafte1.,2,10.0,0.315075248374663,0.2691112739126619
7pasnj6gr51yxw8t9snafte1.,3,0.9446057323867669,-1.0292268572461016,1e-09
7pasnj6gr51yxw8t9snafte1.,4,0.276025217066462,-0.3922809503465767,0.14242720751716123
85czin81wbg9hx9576a2yoqs.,1,10.0,0.16097921894540101,0.22165638071983362
85czin81wbg9hx9576a2yoqs.,2,10.0,-0.22506702658840122,0.8678254409820839
85czin81wbg9hx9576a2yoqs.,3,0.9702922334624523,-0.5810392137537618,0.3345177487686981
85czin81wbg9hx9576a2yoqs.,4,-0.7115040259820029,0.6653921172550795,1.4024607424550983
8n4npywsyuit41ehrclgfoev.,1,10.0,-0.15868702698857012,0.26997850379929655
8n4npywsyuit41ehrclgfoev.,2,10.0,0.4582287900617548,0.010644927634806064
8n4npywsyuit41ehrclgfoev.,3,0.002032316154336924,-0.001083162934742518,0.28582271790552427
8n4npywsyuit41ehrclgfoev.,4,-0.5981239812941993,0.2914661628275999,0.6455267013048774
8sihrciklc2hd768u0rqc4pl.,1,10.0,-0.2291142507656316,0.010890397676501216
8sihrciklc2hd768u0rqc4pl.,2,10.0,0.32539567969058236,0.3634110309862171
8sihrciklc2hd768u0rqc4pl.,3,0.0854459014783775,-0.2291144193136329,0.011171430379767715
8sihrciklc2hd768u0rqc4pl.,4,-2.402995990316674,2.9410121878711153,2.5839753505061296
aaz5rwa16q73iwrsrbshbk39.,1,10.0,0.22911471251413698,0.010928270576951064
aaz5rwa16q73iwrsrbshbk39.,2,10.0,1.7354313394441388e-06,0.328939158617484
aaz5rwa16q73iwrsrbshbk39.,3,-0.04401924843836893,-0.13036875852457247,0.2690359919071801
aaz5rwa16q73iwrsrbshbk39.,4,-0.641456791233409,-0.17120610669765732,0.4924683524627244
ac4dwnk18da5prccl8bzfwsj.,1,10.0,-8.188736544847432e-07,0.2856938368737936
ac4dwnk18da5prccl8bzfwsj.,2,10.0,0.16097921395653272,0.2216563816381854
ac4dwnk18da5prccl8bzfwsj.,3,0.29982536077037436,0.044007089003517276,0.13819655308735984
ac4dwnk18da5prccl8bzfwsj.,4,-2.284015590498535,3.1374101984853184,3.0354899366437182
b9w6du5mfjy3anpj9b94wiun.,1,10.0,-0.3253957179468965,0.3634110387176578
b9w6du5mfjy3anpj9b94wiun.,2,10.0,1.3848341824462795e-07,0.6111707722592281
