Subject,Horizon,alpha,side,sigma
0028vx980suduypyca0fxp5s.,1,0.38928645064687206,0.18853913915242942,7.352481527045546
0028vx980suduypyca0fxp5s.,6,-0.27335776934256656,0.06813260031493013,6.975115375416814
0ai9f8an3qc4knt1s37yc2fq.,1,1.3352336428285114,0.23791560232203357,7.142504286445794
0ai9f8an3qc4knt1s37yc2fq.,6,1.0517707229231807,0.10772849504733906,7.261092229506662
0g5jqp6ehlqbdrbk5dvo7nia.,1,0.2704812806198229,0.45649796825687117,7.068731353606655
0g5jqp6ehlqbdrbk5dvo7nia.,6,-0.618141407402096,-0.06059581932378233,7.750511908341911
0msrk1ubu9clngjuhkffgn7r.,1,0.13740318640424146,0.14653862827462932,6.836387780657473
0msrk1ubu9clngjuhkffgn7r.,6,-0.24286600346238946,-0.5834477194724921,7.714645952671881
2k8a2pb4478h2ui0gtqtg96v.,1,0.504868290333332,0.10743408632581919,7.5609234933632505
2k8a2pb4478h2ui0gtqtg96v.,6,0.12372266870965586,0.11305226340182833,7.651731211015941
35plsw0y6gz896hmg0ksic2g.,1,-0.5228573893526618,0.5456348484245649,7.271493860645586
35plsw0y6gz896hmg0ksic2g.,6,-0.7706539731924132,0.15945663676906063,7.4354874141567775
43qqrym6uu8zlp8w027xqvi9.,1,0.36414477895004876,-0.14905383984845946,7.9363235093003395
43qqrym6uu8zlp8w027xqvi9.,6,-0.3599324649944019,0.08976975406441907,8.019816678662178
4mwhrciwfrfcb7oaq6f05kts.,1,0.7997658863452374,0.2164813220635307,7.171773941650091
4mwhrciwfrfcb7oaq6f05kts.,6,0.3524903535020897,-0.5926094825713311,8.104230485175362
65fygro5lua1k2su3r3vcovk.,1,-0.13144662231454654,0.0007162449930899239,7.263137043977217
65fygro5lua1k2su3r3vcovk.,6,-0.4928207394911759,0.00237383021185937,7.777604292860682
6srjyp630ga4an3l3yhme0q6.,1,0.7348221637482624,-0.06976326987057827,7.8254907100697535
6srjyp630ga4an3l3yhme0q6.,6,-0.26200507174474474,-0.7074924028895885,7.3169068007080496
7pasnj6gr51yxw8t9snafte1.,1,0.5621367639703081,-0.6188388011434843,6.706267901036156
7pasnj6gr51yxw8t9snafte1.,6,0.276958537750665,-0.07928795100113564,6.857450706967103
85czin81wbg9hx9576a2yoqs.,1,0.4211959497374607,0.0427719589453188,6.775920639447097
85czin81wbg9hx9576a2yoqs.,6,-0.1164966527840928,0.016254145793931397,8.246455719905049
8n4npywsyuit41ehrclgfoev.,1,5.067579381613392e-05,-0.10205575627002128,6.886578787284903
8n4npywsyuit41ehrclgfoev.,6,-0.2831933205268283,0.4328045271349827,6.722101700594717
8sihrciklc2hd768u0rqc4pl.,1,-0.14020015200335084,-0.1126548419321572,6.813627341010105
8sihrciklc2hd768u0rqc4pl.,6,-0.4026171105369888,0.5339111912925989,7.056671699997678
