,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
mu[1],-0.3181855297770274,0.5115834494777843,0.8871709099993628,-1.5541015554843307,-1.1570985123034747,-0.2912480383808538,0.28027713805240106,1.3710452454529594,3.0073336528428833,2.71873861933996
mu[2],0.31738684684829815,0.5116762058376879,0.8877096544015657,-1.3598542318463178,-0.27677848747456923,0.29066324477957534,1.157173904292334,1.5647446971862415,3.0098956744399907,2.7130886695506313
mu[3],-0.04302609837352,0.0028134403638102193,0.03134897096412955,-0.10127307048084945,-0.06431895956186515,-0.044280502523725826,-0.022886578707286703,0.01952848063362706,124.15698319388709,1.0212362134860475
sigma[1],0.04704103910344133,0.007156857823860323,0.027561296123148,0.007104240952730901,0.021791969586398847,0.04744025828130022,0.06346038385172886,0.10844844988410794,14.830455669830403,1.2585647908323405
sigma[2],0.048349232150737755,0.009926246796371115,0.031137777226832405,0.00472576346159542,0.023713141028293628,0.044136921124140645,0.06793923560100504,0.12092782192260865,9.840226083347948,1.3048017067597024
sigma[3],0.09153329689690136,0.013400658729796044,0.054685879188544305,0.011455734205141833,0.045117006173310194,0.08560271197884209,0.12983453376873894,0.20715716963559866,16.653215528076565,1.3061968045049046
"beta[1,1]",-0.3149148953807986,0.5113045452517785,0.8877301594702907,-1.5614699842244675,-1.1586544091276731,-0.2954509321043967,0.28183806684449364,1.3657882711624352,3.0144122264164355,2.6912200724903754
"beta[2,1]",-0.31467129396522503,0.512522456115854,0.8916377852714329,-1.5579814881810568,-1.1626653220272027,-0.3011043974346714,0.29065731024990943,1.381812464656208,3.026572847210963,2.6986884536817373
"beta[3,1]",-0.31274827561537544,0.5127814226573864,0.8912557503411751,-1.5619473383248703,-1.165814352799039,-0.2816059474797487,0.28672760903429984,1.3835085159832612,3.0209262571909057,2.693402641326354
"beta[4,1]",-0.31309218904680286,0.5134148108441383,0.8920968139135556,-1.557939148267449,-1.1619014158670513,-0.28071419616325244,0.28174190606269456,1.38636123349943,3.0191673812450732,2.704700561456512
"beta[5,1]",-0.31161720841402873,0.5138667569189246,0.8910885357453241,-1.5629390837955643,-1.1634637125605796,-0.2835459236522578,0.28899394297167835,1.3837275858078264,3.0070501161799577,2.6925370025257265
"beta[6,1]",-0.318542432168072,0.5113129859832342,0.888811781808875,-1.5648463220830533,-1.1583108079092859,-0.29705841887753437,0.2668477062598707,1.3823624767599787,3.0216625366135195,2.6895287465199145
"beta[7,1]",-0.32282176424194525,0.5105873931652267,0.8880796624249396,-1.5646235583734067,-1.170298449729855,-0.2842018008655198,0.2776696102204758,1.362303376705455,3.0252667495996213,2.6795075840889018
"beta[8,1]",-0.30554196125819993,0.5138734102358591,0.8928575739180927,-1.556516543476643,-1.1594225562571197,-0.2623556712759202,0.29075949906940035,1.3858407415737615,3.0189233157556767,2.6999136520855775
"beta[9,1]",-0.31866071583182204,0.5116926170767517,0.8886856734639146,-1.5579244605414293,-1.1702928416544736,-0.2890987261607316,0.28009825034517855,1.3787008555650537,3.0163244623361853,2.7005767215332552
"beta[10,1]",-0.31369988654174624,0.5124235053930933,0.8882355880883657,-1.56591640999613,-1.1478194559626336,-0.2874316086638473,0.27761686199134505,1.364784839346382,3.004680186519515,2.7098688980383008
