,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
gr_alpha,1.36913535719884,0.02074700904327799,0.8373459580183146,-0.2532528604736366,0.7944558061307427,1.3745103909630567,1.9547481351180482,3.0160152416737813,1628.9166558520524,0.9999565090358966
gr_side,0.1716244344096448,0.0692867187427038,0.6718060080034284,-1.2105074218547407,-0.2746793623922204,0.20625360121316644,0.664905711147223,1.3565356032615365,94.01297102456758,1.0509007970829733
gr_sigma,6.3924217012496705,0.0245272752047122,1.068631079387771,4.309529011758728,5.676875693189239,6.408583385772561,7.149863793764428,8.520624763760187,1898.2656692913367,1.0020647977286385
gr_sd[1],9.353622607967345,0.03646516886364523,1.0437205653499748,7.471493533315088,8.608390123048645,9.323952504883064,10.032575619763561,11.523494356170776,819.2416499981653,0.9989994775167461
gr_sd[2],1.0271925013733467,0.09016477786322626,0.5421720893657852,0.337786058506923,0.6297492902056507,0.8843013261105899,1.3188140781064024,2.3390069781710934,36.15767352967121,1.1016637867440375
gr_sd[3],13.701799437788404,0.037034144193728316,1.2468543702885673,11.393632951170275,12.87784412687429,13.636136323364617,14.526538107975616,16.215981862726785,1133.5138665929546,1.0037505125500905
alpha[1],7.398538120666269,0.14016489548658045,7.213917253605525,-7.015411952227503,2.559519380599434,7.401975364903215,12.172478848210476,22.008843759295807,2648.8892321996077,0.9985975411008129
alpha[2],27.634842729693425,0.14444744703061563,6.218649890549425,15.767341431301084,23.49401296772183,27.50053022660686,31.709442873670262,40.66055627645154,1853.414142113286,0.9995995803872978
alpha[3],5.185513543632223,0.13429077707042347,6.819449544745064,-8.245246551999454,0.6043934398283234,5.05630954920136,9.702287569766703,18.849291413898015,2578.7323427757465,0.9990697810944523
alpha[4],2.9278062076116114,0.13328478623150722,6.530928458870939,-9.828776576004833,-1.2572686336846406,2.8168773065335846,7.28089992232862,15.642920659224075,2400.9808342023116,0.9994383641854607
alpha[5],9.287204251949206,0.14521971735442105,7.136935006981625,-4.964276035242394,4.596302063885216,9.392430805884967,13.89462930215771,23.416270414005467,2415.3068296534107,0.9986972650721451
